Date,open,high,close,low,volume,macd,macdsignal,rsi,stoch,ma1,ma2,ma3,ema,cci,bblower,bbupper,roc,atr
2018-07-06T01:00,6532.30,6538.20,6483.90,6451.90,3635,-24.85,59.30,47.10,0.00,6577.76,6525.95,6564.17,6600.55,-105.02,6345.38,6806.16,-0.03,112.13
2018-07-06T05:00,6483.70,6544.30,6526.30,6474.10,2428,-23.62,53.40,51.00,19.22,6573.42,6530.89,6565.32,6593.00,-68.01,6362.78,6778.04,-0.01,109.14
2018-07-06T09:00,6526.30,6637.51,6566.50,6526.30,2978,-19.53,48.51,54.43,36.13,6570.23,6539.11,6571.85,6593.18,11.65,6382.97,6750.01,-0.01,109.28
2018-07-06T13:00,6566.40,6638.50,6572.00,6521.50,3124,-16.04,44.50,54.89,38.39,6566.75,6547.40,6578.05,6594.07,13.27,6394.32,6737.46,-0.01,109.84
2018-07-06T17:00,6572.00,6641.78,6602.20,6559.24,1364,-11.48,41.63,57.46,51.06,6567.62,6555.81,6583.15,6599.86,41.35,6405.76,6727.88,0,107.89
2018-07-06T21:00,6602.80,6610.00,6599.20,6563.30,608,-8.60,39.48,57.11,77.78,6568.36,6564.52,6577.80,6604.15,29.34,6419.22,6713.65,0,103.52
2018-07-07T01:00,6599.20,6623.90,6594.40,6570.90,1121,-7.01,37.73,56.52,73.19,6567.77,6572.99,6571.54,6606.81,33.07,6424.51,6716.90,0.01,99.91
2018-07-07T05:00,6594.60,6599.33,6583.50,6559.20,864,-6.68,36.06,55.13,63.43,6571.32,6581.07,6571.11,6607.02,5.98,6430.23,6722.68,0.01,95.64
2018-07-07T09:00,6583.40,6615.00,6559.00,6519.00,3297,-8.02,34.06,52.03,38.94,6575.62,6578.73,6567.07,6602.75,-27.19,6433.92,6726.98,0,95.66
2018-07-07T13:00,6559.00,6571.50,6541.90,6532.00,991,-9.84,31.60,49.92,23.44,6578.62,6575.93,6562.09,6595.89,-58.09,6434.88,6727.64,0.01,91.65
