Date,High,Low,Open,Close,Volume,Macd,Macdsignal,rsi,bull_rsi,bear_rsi,stochK,stochD,ema21,ema50,ema100,ema200,bblower,bbupper,cci,roc,atr,adx,di_minus,di_plus
2017-11-01T18:00,6739.90,6502.10,6595.20,6739.60,9440,36.46,153.28,78.95,82.83,77.19,96.21,93.33,6305.27,6075.39,5827.62,5409.21,5906.82,6689.09,154.91,0.08,141.78,40.17,7.57,36.23
2017-11-01T22:00,6886.80,6707.30,6739.40,6849.90,16058,44.14,164.32,81.33,85.41,79.49,97.18,95.96,6354.78,6105.76,5847.86,5423.55,5880.08,6785.43,184.67,0.08,144.47,42.35,6.9,40.27
2017-11-02T02:00,6949.00,6789.50,6849.80,6912.90,9917,49.16,176.61,82.55,86.69,80.67,97.08,96.83,6405.52,6137.41,5868.95,5438.37,5860.99,6880.61,176.68,0.09,145.55,44.52,6.36,40.17
2017-11-02T06:00,7350.00,6753.00,6911.00,6950.10,31217,50.49,189.23,83.24,87.41,81.35,86.58,93.61,6455.02,6169.28,5890.36,5453.41,5850.72,6969.09,184.23,0.08,177.79,47.14,4.83,46.65
2017-11-02T10:00,7171.00,6765.00,6954.20,7070.00,21525,54.61,202.89,85.28,89.45,83.35,80.69,88.12,6510.93,6204.61,5913.72,5469.5,5841.07,7070.65,151.81,0.1,194.09,49.57,4.11,39.68
2017-11-02T14:00,7072.70,6820.00,7070.00,6967.40,10461,45.93,214.37,76.70,77.49,75.90,71.12,79.46,6552.43,6234.52,5934.58,5484.4,5857.91,7133.95,120.17,0.09,198.28,51.84,3.74,36.07
2017-11-02T18:00,7119.00,6924.60,6967.30,7018.80,7452,39.41,224.22,77.90,79.05,77.00,71.29,74.36,6594.83,6265.27,5956.05,5499.67,5896.1,7189.65,121.06,0.07,198,53.99,3.47,35.21
2017-11-02T22:00,7283.70,6917.00,7018.80,7197.20,9631,42.59,234.87,81.47,83.47,80.32,73.63,72.01,6649.59,6301.82,5980.63,5516.56,5929.98,7267.99,129.24,0.1,210.05,56.18,3.04,36.42
2017-11-03T02:00,7345.00,7100.00,7199.00,7301.90,10097,46.90,246.59,83.18,85.46,81.95,82.99,75.97,6708.89,6341.04,6006.79,5534.33,5958.89,7356.45,135.66,0.11,212.55,58.27,2.79,35.48
2017-11-03T06:00,7448.00,7219.60,7301.90,7299.70,14901,44.75,257.78,83.01,85.22,81.80,88.86,81.83,6762.6,6378.63,6032.39,5551.89,6007.61,7424.48,133.09,0.08,213.68,60.3,2.58,36.21
2017-11-03T10:00,7348.40,7100.10,7302.30,7323.90,11439,40.25,267.84,83.42,85.72,82.19,90.02,87.29,6813.63,6415.7,6057.97,5569.53,6082.15,7472.84,107.48,0.07,216.15,60.85,6.32,33.24
2017-11-03T14:00,7334.20,7217.40,7323.80,7269.90,5387,29.43,275.20,78.84,79.19,78.22,85.72,88.2,6855.1,6449.2,6081.97,5586.44,6146.9,7510.54,101.81,0.05,209.06,61.37,6.06,31.92
2017-11-03T18:00,7288.00,7043.40,7269.90,7132.10,10892,9.81,277.65,68.52,65.13,69.14,79.07,84.94,6880.29,6475.98,6102.76,5601.83,6209.01,7525.64,69.47,0.03,211.6,60.12,11.44,29.28
